X	Y
96.37	318.65
84.71	273.52
56.08	189.94
57.55	202.45
74.90	251.72
97.38	313.23
47.44	157.96
59.10	199.73
35.89	127.38
39.60	143.59
63.94	217.65
75.41	254.68
77.12	251.38
98.65	318.79
65.83	214.75
73.46	239.30
72.70	247.29
48.24	167.00
34.57	132.04
60.81	209.55
62.58	203.62
74.53	246.19
58.16	202.49
73.87	249.88
68.38	231.93
43.75	146.95
90.11	296.83
58.86	199.60
34.96	129.60
49.30	163.72
86.22	286.72
48.91	172.61
85.11	281.45
38.78	133.16
53.44	177.09
64.43	216.95
75.42	250.42
98.26	317.05
67.61	224.52
39.45	137.16
34.11	123.32
32.32	123.21
85.97	279.23
94.49	308.91
78.90	252.13
50.46	178.24
65.00	218.57
47.33	158.57
86.99	288.30
44.91	153.96
31.94	115.35
48.50	171.23
92.99	299.07
63.82	211.70
78.80	259.09
92.53	304.65
53.91	181.61
48.16	171.67
98.89	314.47
44.76	162.52
33.02	118.24
80.41	263.65
80.67	261.48
87.06	276.84
96.76	314.76
61.86	208.08
68.74	223.52
66.91	217.28
57.96	201.93
52.72	184.03
84.74	269.32
78.47	262.64
45.10	165.13
95.57	304.33
63.92	220.61
32.39	121.61
91.38	304.05
85.55	284.76
98.09	318.68
70.86	228.19
56.90	192.26
86.50	276.33
77.69	257.55
33.31	115.75
75.96	246.83
69.48	235.71
37.19	129.90
82.95	272.57
96.26	316.76
85.55	279.61
44.05	155.03
42.88	153.80
90.52	292.19
70.57	229.50
42.93	151.81
80.24	255.97
78.62	256.22
42.64	150.92
89.52	286.00
87.07	285.77
78.31	256.85
92.41	303.57
64.46	208.58
36.63	135.11
92.48	305.19
65.73	217.28
59.21	207.12
67.83	223.36
56.23	187.93
33.12	124.73
89.91	287.98
55.78	190.05
56.51	195.04
75.22	254.64
85.21	272.54
38.66	140.43
82.72	264.54
57.65	198.86
48.67	164.68
78.71	251.48
51.51	182.68
93.76	310.30
53.04	178.94
70.90	233.24
84.53	275.87
97.98	311.38
83.15	267.40
54.41	179.74
41.90	140.79
36.10	130.56
62.27	209.07
34.29	123.55
63.93	211.09
68.75	224.60
85.06	276.96
40.91	145.01
96.84	307.02
43.75	151.82
71.63	232.24
95.32	306.84
50.58	170.98
68.20	226.16
54.61	187.12
76.70	255.67
80.17	258.94
89.65	292.85
48.45	166.06
84.85	272.75
38.47	142.56
96.11	306.16
64.79	216.24
72.57	246.82
81.58	260.08
72.78	238.05
75.53	246.43
49.49	177.04
73.98	238.17
45.73	166.78
85.52	286.22
81.76	270.20
78.62	255.85
98.10	321.80
97.65	308.11
68.05	227.66
50.37	178.38
97.27	320.31
38.63	140.89
51.53	175.68
60.26	210.63
43.88	159.27
74.37	246.60
36.05	129.20
43.60	154.47
71.79	236.31
70.09	229.31
83.64	279.38
76.43	257.35
71.84	242.21
52.78	180.29
97.98	319.35
76.00	250.79
88.18	283.60
84.22	278.37
44.15	148.86
39.05	139.13
31.69	119.61
36.17	137.38
75.54	251.40
94.40	300.40
38.69	137.66
93.05	294.96
41.99	153.08
37.62	133.97
63.16	210.65
95.41	312.94
61.14	209.18
69.90	227.28
55.72	195.90
64.59	216.66
83.25	266.87
66.19	226.67
33.56	115.97
68.70	231.93
59.76	203.60
92.25	304.36
66.26	218.78
61.83	205.24
80.01	256.41
62.88	215.57
90.05	293.09
76.43	245.03
57.54	192.86
73.52	249.56
88.49	288.34
87.85	292.90
73.47	247.35
95.27	313.22
87.99	281.79
78.19	253.35
35.26	121.17
84.60	271.90
33.21	116.88
91.99	294.75
73.40	249.95
80.79	257.54
49.31	163.75
83.76	270.45
50.83	169.29
86.92	276.57
31.31	117.23
91.03	302.95
87.30	277.02
37.84	133.22
56.56	191.04
51.81	184.07
90.19	295.33
53.39	185.66
42.72	157.60
36.81	131.88
65.25	218.57
33.15	115.79
73.75	250.33
34.28	120.96
61.76	212.34
78.83	257.39
81.80	262.39
64.48	209.98
73.39	243.93
44.36	155.80
46.81	158.92
92.46	304.88
79.97	257.29
81.52	274.10
54.95	183.96
44.41	160.16
33.11	119.57
31.11	116.51
42.89	153.57
60.18	197.19
86.14	285.32
78.05	258.39
52.60	178.83
40.50	139.58
90.93	301.33
56.87	194.11
47.15	169.38
85.50	283.66
70.26	239.28
42.42	156.54
33.93	117.48
81.88	262.51
89.16	283.07
42.08	152.26
71.96	233.27
32.99	127.37
85.87	277.53
61.96	210.44
74.67	253.23
75.25	254.77
94.06	301.04
84.63	278.16
80.42	258.25
97.16	314.40
32.58	114.64
72.46	233.99
73.27	239.80
90.63	291.22
64.04	217.60
45.12	156.10
52.95	186.52
77.41	260.78
63.09	218.98
47.02	158.28
64.22	210.85
80.69	267.65
55.66	190.02
51.49	171.10
45.22	158.77
83.63	271.36
66.73	224.37
48.37	167.35
94.94	308.32
85.11	282.33
43.34	156.59
75.11	254.65
60.83	210.68
93.54	307.90
49.16	175.73
82.50	276.26
50.07	170.43
63.09	212.12
66.15	222.68
74.19	245.38
37.83	134.10
70.02	236.93
98.34	312.27
34.61	124.29
82.53	267.04
71.20	230.30
94.16	303.60
86.36	277.32
82.13	268.65
30.03	106.82
74.52	244.98
79.34	259.16
41.76	147.13
39.31	136.01
61.40	206.70
99.08	324.63
56.55	193.53
47.97	165.82
39.29	141.94
89.35	295.66
46.87	169.63
74.76	241.10
87.63	283.97
98.37	316.53
33.27	115.67
99.13	321.16
35.28	131.11
81.30	272.83
93.89	311.52
44.66	155.26
37.55	136.32
74.09	241.46
35.70	132.21
41.12	144.82
76.04	250.30
92.59	307.69
96.43	317.58
85.01	284.84
39.62	145.05
87.04	287.01
93.29	296.86
96.16	318.29
78.64	262.30
97.02	319.45
95.64	313.00
49.48	170.27
92.27	300.96
95.49	313.01
50.64	175.13
67.57	222.83
51.28	176.48
74.75	253.41
47.30	167.19
82.61	269.93
81.68	274.56
81.82	263.61
87.65	291.76
52.87	178.44
94.17	305.30
54.39	189.60
34.19	117.68
46.45	159.62
43.25	145.24
98.56	317.18
58.99	203.80
52.50	184.73
44.13	150.53
68.05	223.32
96.49	314.33
31.88	123.52
98.63	315.61
94.10	309.67
64.19	213.70
92.27	305.46
87.78	284.25
95.97	303.90
31.15	109.79
62.86	206.42
55.15	195.09
65.38	216.34
58.50	203.62
45.87	162.77
73.09	244.07
94.54	307.02
97.68	310.52
42.29	142.00
72.04	242.42
90.90	292.34
30.41	117.89
55.35	186.58
94.30	307.57
60.85	203.64
68.51	231.41
34.37	118.44
77.43	250.56
31.27	109.36
66.96	219.65
45.67	164.63
77.19	258.74
55.99	191.85
71.22	232.40
77.12	249.41
51.95	181.74
69.19	235.66
98.71	316.85
92.07	304.16
66.11	213.72
66.94	216.71
38.12	144.09
32.72	116.41
78.95	259.67
90.48	295.71
64.68	212.08
95.23	303.14
69.82	228.56
49.62	167.51
38.63	144.65
88.90	291.31
78.46	265.07
55.50	194.91
64.56	221.21
38.87	143.41
75.73	243.34
98.76	324.86
53.81	187.98
69.08	225.20
58.28	190.29
37.31	137.72
36.26	137.77
97.22	317.32
46.68	156.91
87.94	278.94
90.60	301.58
60.30	209.09
80.22	263.47
89.18	289.87
37.80	130.86
77.09	257.80
68.06	226.83
49.99	171.61
54.95	188.91
64.60	215.90
60.86	210.27
67.88	232.63
89.54	297.89
71.47	233.99
72.95	244.85
57.92	196.83
66.84	224.40
32.40	125.09
89.08	289.48
57.93	190.47
83.32	273.85
36.82	128.39
74.99	253.16
37.46	137.08
40.65	142.16
63.74	209.92
87.41	289.89
92.61	299.39
93.74	298.26
95.72	316.44
39.68	146.37
55.11	185.29
51.62	180.92
43.14	154.78
59.61	200.50
99.86	325.56
45.90	156.28
70.34	234.72
47.67	162.28
50.77	175.13
82.64	268.64
56.06	194.02
61.48	211.86
37.17	137.55
81.63	269.71
67.97	220.94
52.24	174.58
69.16	235.41
82.00	264.37
38.29	144.06
81.89	266.42
31.43	116.37
89.26	296.96
75.37	254.02
58.52	193.07
66.78	217.57
65.75	212.63
67.73	226.68
81.02	258.53
89.47	295.47
87.93	288.88
31.32	120.12
88.14	283.94
43.05	156.88
46.32	160.71
51.84	174.15
68.96	222.50
81.67	265.58
87.63	278.19
35.05	122.50
50.96	173.99
45.33	153.10
68.10	222.11
52.21	185.43
83.04	269.38
82.22	265.12
40.87	140.32
61.63	201.94
38.26	142.28
58.44	191.65
37.91	129.12
41.55	140.90
95.15	312.45
85.36	283.02
62.22	202.80
85.70	282.07
66.40	228.07
97.51	308.38
55.70	194.17
62.45	205.87
31.49	119.07
30.95	120.61
55.84	184.20
68.52	228.75
87.68	288.81
73.89	237.98
78.15	249.50
80.70	265.47
69.77	230.11
67.86	230.71
34.71	132.44
35.63	121.89
50.93	170.24
31.51	110.87
96.48	317.48
82.69	277.71
40.87	142.42
35.12	128.20
59.35	207.40
76.98	259.68
91.14	303.36
80.88	264.32
52.66	177.00
77.15	260.26
98.98	316.07
58.52	195.77
50.20	168.36
94.37	300.14
65.49	211.93
43.67	146.90
50.64	175.85
79.75	268.42
49.46	171.50
74.34	248.32
99.04	322.32
64.00	216.57
70.29	237.38
31.15	117.62
61.01	198.29
38.33	137.53
46.05	162.00
59.50	205.02
78.31	258.33
32.08	122.63
55.47	182.44
76.74	255.78
85.91	281.16
70.16	238.87
60.89	208.12
76.64	249.12
34.35	123.23
98.48	318.55
99.51	320.19
73.32	246.33
70.76	230.37
43.24	145.04
85.80	279.97
63.10	214.64
75.01	242.43
80.86	264.27
66.56	215.41
93.78	306.13
56.51	195.46
59.14	198.08
41.69	146.98
50.51	176.40
35.04	124.40
64.79	218.86
74.40	239.31
71.10	230.19
47.12	165.69
83.40	272.89
94.99	308.25
41.22	140.22
54.00	188.99
61.35	205.52
97.80	321.08
59.33	196.63
88.15	294.16
76.05	257.22
37.35	133.35
99.39	327.12
39.17	139.14
65.60	218.24
40.20	144.61
87.87	282.83
63.92	208.53
36.72	136.60
75.64	254.77
76.58	244.77
66.47	227.54
67.72	219.07
31.46	120.24
68.02	230.17
81.03	262.85
78.56	250.78
51.07	177.63
81.84	272.47
35.85	124.40
72.24	234.45
74.99	249.22
54.23	178.73
37.73	131.10
90.37	292.67
56.95	192.34
87.78	281.22
54.65	183.57
41.32	144.02
68.11	232.94
60.59	198.56
89.94	287.13
95.25	304.91
83.83	280.41
60.36	206.68
58.55	191.33
33.41	117.30
72.21	245.90
64.23	209.06
40.64	143.97
43.35	158.52
75.87	243.63
92.41	304.58
54.45	181.08
62.02	212.62
67.49	217.96
75.77	249.68
90.42	293.56
89.56	292.14
88.34	290.48
90.66	289.22
57.36	200.06
69.43	232.60
50.05	180.10
54.97	193.18
88.48	281.92
55.99	194.79
95.69	316.75
49.24	163.54
98.00	315.63
58.52	197.45
63.80	209.29
67.82	225.23
94.83	312.34
58.22	192.49
53.73	177.84
87.75	290.99
93.35	306.75
85.06	277.99
37.71	136.99
65.20	213.46
33.16	114.90
58.91	204.51
49.05	173.77
67.73	233.02
81.09	261.81
71.94	236.73
92.61	296.10
31.15	112.59
80.99	269.32
94.70	304.18
45.01	151.38
61.50	202.21
81.52	273.19
41.47	140.51
43.59	156.86
76.69	245.39
88.50	287.39
35.88	136.16
63.24	214.13
86.72	278.37
91.37	290.03
49.55	178.58
61.97	203.28
49.65	165.57
65.81	214.43
53.48	184.57
81.81	269.62
73.04	235.05
80.04	257.72
32.72	122.13
80.34	269.31
40.17	143.18
69.66	226.53
81.64	261.85
94.45	301.23
60.65	200.52
89.84	286.89
77.47	252.22
76.19	255.09
53.15	174.67
78.94	253.82
44.90	156.55
49.36	167.89
38.16	138.09
98.22	321.31
54.99	181.20
57.10	200.69
87.04	290.71
73.33	243.26
58.19	197.20
80.73	262.58
82.30	272.16
94.35	299.57
61.81	203.94
74.47	240.20
54.31	180.93
39.82	145.18
52.54	182.59
59.27	199.88
67.76	230.94
36.85	129.12
31.38	116.26
64.85	221.33
98.15	312.26
65.89	218.11
62.07	204.31
96.97	307.88
79.07	258.11
63.15	217.02
36.28	133.79
57.59	198.64
69.52	235.30
75.38	245.06
93.17	306.40
67.08	217.09
96.85	316.91
33.27	115.40
83.69	266.67
73.33	247.14
50.69	169.30
46.89	161.01
49.09	173.31
91.52	302.82
83.22	278.17
32.32	120.03
98.37	313.98
71.00	241.77
88.66	285.22
65.28	218.18
80.38	260.05
86.41	286.80
99.19	317.97
52.99	174.48
75.48	243.49
49.17	167.03
46.67	162.72
99.05	312.34
61.91	202.85
70.07	232.61
69.77	230.60
76.56	247.08
73.63	241.18
52.96	186.77
59.92	203.32
60.89	208.25
97.41	312.49
34.99	123.63
37.82	136.67
32.61	113.90
35.21	122.44
35.74	131.80
68.27	233.59
93.62	302.39
35.99	133.36
51.12	172.81
67.32	220.22
42.36	155.36
58.80	197.33
52.01	182.56
89.76	293.39
72.57	246.80
57.13	196.47
31.22	111.83
48.19	166.24
74.60	244.02
30.21	120.62
99.99	326.92
63.67	212.82
89.83	297.84
48.61	164.74
30.25	117.53
56.78	186.04
85.39	278.77
97.23	311.58
82.15	272.11
90.59	301.22
86.92	278.58
89.76	295.35
77.30	255.91
41.62	145.18
76.25	258.34
56.88	191.04
77.91	258.16
77.30	252.33
40.41	143.34
50.46	172.21
56.64	194.25
55.53	186.00
